escenario,algoritmo,ejecuciones,media_distancia,std_distancia,mediana_distancia,mejor_distancia,peor_distancia,media_tiempo,std_tiempo,mediana_tiempo,cv_distancia
1,ACO_ACS,30,11.001175373295943,0.1574620184364849,10.997122772037983,10.746321454644203,11.407836511731148,13.181158726654637,0.5307415026810302,13.148007899988443,0.014313199553086428
1,ACO_AS,30,10.8186119902879,0.09843837584128405,10.822522424161434,10.638276249170303,11.112893179059029,40.933903496634834,1.6168647299897116,40.73186775005888,0.009098983855752871
1,ACO_AS_RANK,30,10.704712969685595,0.09144762764367743,10.69961142539978,10.564119588583708,10.899306081235409,50.85217105333383,9.090196162708505,53.18954014999326,0.008542744481112726
1,ACO_EAS,30,11.059582227592667,0.1617936979024199,11.059552880004048,10.703799836337566,11.376452557742596,41.09453992333729,1.1649651942786337,41.094021500088274,0.014629277541674144
1,ACO_MMAS,30,11.988681302840511,0.19084661405047995,12.011291796341538,11.544468242675066,12.354094050824642,76.66282598668865,38.96677978575391,58.06209219992161,0.01591889960451798
1,SA,30,13.00879709435006,0.3184436879844926,13.01221820898354,12.531531270593405,13.65758316218853,3.8634477366382876,0.7158969365770566,4.020991299999878,0.024479103307929836
2,ACO_ACS,30,11.492438604434332,0.12435879046360292,11.465347208082676,11.335838615894318,11.864143669605255,2.167437980013589,0.08338480213682217,2.1876212999923155,0.010820922760084997
2,ACO_AS,30,11.328050804138183,0.055572932826894364,11.316333949565887,11.221336245536804,11.420758612453938,85.04543616333976,7.980603080383738,87.69827964995056,0.004905780684404536
2,ACO_AS_RANK,30,11.238037845989068,0.03585058824999163,11.221336245536804,11.191517755389214,11.363085940480232,22.763165243358042,4.244485472584802,21.551879000035115,0.003190111008816984
2,ACO_EAS,30,11.453091705093781,0.15277480430275256,11.412796571850777,11.27525957673788,11.880455166101456,25.898328016667318,14.535459834413352,22.431382750044577,0.013339175851949716
2,ACO_MMAS,30,12.386635484049718,0.183664590898716,12.382037088274956,11.837314277887344,12.697906278073788,28.560898393330476,7.570366172138001,29.241787050035782,0.014827641544406555
2,SA,30,13.485849320391814,0.45911197431870043,13.561760861426592,12.528222307562828,14.387866914272308,0.6750653967106094,0.02385362886321637,0.672422350035049,0.03404397924159526
